141,50,List not found : ,131,171,202,52 , List used : ,142,199,176,131,143,171,202,52
144,12.5,List not found : ,198,159,168,138,132,171,137 , List used : ,198,159,164,168,138,132,171,137
169,37.5,List not found : ,198,159,134,206,157 , List used : ,168,198,170,159,171,134,206,157
180,12.5,List not found : ,159,140,165,134,157,138,168 , List used : ,159,140,165,134,157,138,185,168
207,50,List not found : ,199,149,147,141 , List used : ,209,208,199,200,142,149,147,141
Average  ,30.6818

ratio CLD / HTD : 0% number img used  9
0,44.4444,List not found : ,67,21,23,63,5 , List used : ,25,67,37,21,61,70,23,63,5
1,22.2222,List not found : ,89,32,116,16,51,49,27 , List used : ,2,89,32,116,16,51,49,3,27
44,44.4444,List not found : ,53,31,84,30,78 , List used : ,43,45,39,40,53,31,84,30,78
52,11.1111,List not found : ,30,31,59,103,71,72,101,106 , List used : ,53,30,31,59,103,71,72,101,106
71,22.2222,List not found : ,50,116,38,34,57,69,51 , List used : ,29,20,50,116,38,34,57,69,51
86,11.1111,List not found : ,81,124,79,115,125,90,110,118 , List used : ,81,80,124,79,115,125,90,110,118
141,44.4444,List not found : ,131,171,202,52,206 , List used : ,142,199,176,131,143,171,202,52,206
144,22.2222,List not found : ,198,159,168,138,132,171,137 , List used : ,198,159,164,168,138,132,171,137,158
169,33.3333,List not found : ,198,159,134,206,157,151 , List used : ,168,198,170,159,171,134,206,157,151
180,11.1111,List not found : ,159,140,165,134,157,138,168,156 , List used : ,159,140,165,134,157,138,185,168,156
207,44.4444,List not found : ,199,149,147,141,146 , List used : ,209,208,199,200,142,149,147,141,146
Average  ,28.2828

ratio CLD / HTD : 0% number img used  10
0,40,List not found : ,67,21,23,63,5,6 , List used : ,25,67,37,21,61,70,23,63,5,6
1,20,List not found : ,89,32,116,16,51,49,27,26 , List used : ,2,89,32,116,16,51,49,3,27,26
44,40,List not found : ,53,31,84,30,78,106 , List used : ,43,45,39,40,53,31,84,30,78,106
52,10,List not found : ,30,31,59,103,71,72,101,106,84 , List used : ,53,30,31,59,103,71,72,101,106,84
71,30,List not found : ,50,116,38,34,57,69,51 , List used : ,29,20,50,116,38,34,57,69,51,68
